domain,query_type,query_size
wwdaggygbx.org,AAAA,76
t4u07aqw2.xyz,NS,193
p07.9nx0udnpia.5kz23.org,CNAME,74
lnu2uh1s6.fvxk6d.4y3ere.co,NS,200
8cs91j0ys6.org,AAAA,189
szdd.uo74o.c113aq.io,CNAME,146
.biz,TXT,30
x38og2r.d9ra92ph8.pnlswqw.io,NS,180
2hg.qu5z5.jllc0.io,NS,210
hw4.new.xyz,CNAME,91
xvd8.w07vqu7xd.zuc.net,MX,205
3gcvdk.0eykby.arks8uix.io,CNAME,206
8zyze2zb8p.arxa.jkn0r1.xyz,CNAME,223
vyk4vzv4y.co,AAAA,44
r5lzuhnf6p.bjuq9zk.tvuyv.xyz,AAAA,105
z4mt05rg3.qmys9y7g7.biz,NS,211
ddz3ur.org,MX,245
.biz,TXT,156
kmm.org,NS,106
wv0ork36.hraibh0.xyz,NS,248
.net,TXT,134
zi3dtu6u0.r1nxs3t.com,A,123
ay2bxvqehu.bk5smtfm.9s3qi4iy5f.info,AAAA,66
7rhhe6tra5.0sdk.wvg5maa.net,CNAME,49
b26d.ils4ujc.yc1tpc6.co,AAAA,194
04e8.org,CNAME,114
r71fv.k8zcaq.xyz,TXT,171
iee.kln9wd.e8n9.biz,MX,66
.org,MX,173
5p9zc.jo1xwf8ovb.info,AAAA,189
pfm5iwj.k3ib79qh.8v5xz1g.io,TXT,145
fymq4i0riv.ct9wrxlan3.uett.info,AAAA,146
tvdtppm3se.v41wr.ftscj.xyz,NS,119
d8h.n2etof.org,MX,112
1y57q3ym.com,CNAME,249
ansfg5a7.gvwwv31r.org,A,169
r3xc8a.com,TXT,61
9tq.7ba1m1k5.org,CNAME,166
aetvg0vesh.lxa25c.ca7ppk2f3.biz,CNAME,93
.org,AAAA,67
.com,MX,81
037.nwe2g9.np9aoga0.io,TXT,144
.biz,MX,219
uxrxqusa.me43vo.s16571a.net,A,35
slav.mpem.ajufjf7.org,MX,55
65j.wsct.axkm4ho3g.io,CNAME,223
eghb9kxaa.org,MX,115
p46ff8ty.co,CNAME,212
lqtbqzjfy3.wsc.ne40qwz.io,AAAA,147
4ba.o5o5g5.com,NS,44
.xyz,TXT,150
k9go0.rcq.otac9i.biz,MX,97
.biz,AAAA,39
8dyq1po.net,NS,134
jt7m.ig0jr.io,MX,246
2eil159.91erhrj8y.co,NS,71
qqquxwb.rqp.72j2u6vm.co,AAAA,154
uzdyzuq65.2dsl81ehi.biz,AAAA,117
wtb8.54in0.0a7oz.com,AAAA,79
kgh97p1ylo.1wsf.u493c5lqc.com,A,228
8y0tbll1aa.5wf.3m0lo6.org,TXT,146
7rva9wrhc.h3zm52gi3.xyz,CNAME,123
.info,CNAME,38
8541xq3g.net,CNAME,131
mehd2z.k065ot.la5qod8.biz,MX,113
.info,AAAA,119
bxmdmxp.org,MX,82
.xyz,MX,44
mjq.b5cxo.fpj803.co,CNAME,180
m97yje1g0.co,MX,134
.xyz,MX,172
9r568znmls.63pq.o92fk1.info,AAAA,86
phz.9as2ijb.xyz,CNAME,91
.com,AAAA,31
.biz,CNAME,129
riq.7qr.info,TXT,105
.biz,NS,125
.com,TXT,134
76el.zgl5knd84.ben3v.net,MX,108
sik3e.ivzex43zrs.org,NS,94
.info,TXT,89
.org,MX,71
lu6os.tx20njoa.v75m3q0.info,CNAME,175
xnohpiru2.gua5.gbwh2phxx.io,NS,167
xzdf.biz,TXT,179
htrmgs3ykz.co,AAAA,83
05l49197.7c4o6227.info,AAAA,69
9d6vqlc5d0.mpgj1tc5da.net,A,61
5r6oe.xyz,TXT,184
0ii7a8e2f.k1mkhf.org,A,241
.info,A,244
3uz15.zce6g0jb0r.biz,A,114
1eag76sw.io,A,43
.biz,TXT,114
lghh.ca0s4ya.00yy.com,MX,244
jgz9.1jda7.biz,NS,71
.info,A,87
tipt3o.dnsuhss8nk.et4a2.co,CNAME,110
.org,AAAA,77
ndm1qt.09tz.eskx.co,AAAA,56
ja3ei4a.ooc8t4dms.org,TXT,36
.co,NS,58
1gutu.net,NS,47
gbfz9ti.io,MX,218
a7qqz03ai5.2oyd4vztj.oeolvzc.com,NS,166
2cso.823w.co,AAAA,108
zw0rcnz.r5i530re.io,NS,220
2w9437.io,CNAME,248
.biz,A,128
vfp.hjvzmk.info,TXT,60
.biz,A,141
.org,TXT,220
ll7hq7g.all8km.irh.co,TXT,222
3ch68.biz,A,145
ey7.rp8wbg.w3xr0a5.xyz,TXT,175
709mzu.mrsa.xyz,MX,193
.org,A,158
ui1h5xq.co,CNAME,65
3gd.biz,TXT,239
.io,AAAA,76
s51xj8ozy7.bm3.yx4b98zi.io,MX,185
f1e7vzes0l.9q0p1.org,AAAA,109
yedd.co,AAAA,209
ox6x.co,MX,211
.io,CNAME,122
.com,A,83
o3ldro50u8.4skp0jxt.uii6ko5.com,AAAA,216
epmo.vsfxhj0c.hdb0dn.net,A,242
a9i.3f01.info,TXT,60
7rdwa.wxh.40yiocvq.biz,MX,82
.xyz,A,205
kgrhag.mtyoaobw.nd6k09ub8.xyz,TXT,107
.io,TXT,118
ei1e3s38.io,NS,110
fk8u.io,AAAA,114
klqfndshm.co,NS,40
7ct1ysn.net,NS,236
rvcurer.ogsy6lk.85mx83xyyz.com,MX,206
9fj77zbum.b6gzpep64.io,CNAME,105
9moby7u.org,AAAA,50
.info,MX,139
m1i88.uluqv.gntae.org,CNAME,87
az2.8p0ixsc46.2nn0k09s8.com,AAAA,105
camtrzy.m6h41.org,TXT,162
mfub2wrhv.30a17u9.xk6p7.co,NS,235
edz6.biz,A,230
.biz,A,77
w1wopmyral.ms07sb.jio.xyz,AAAA,151
wex3v3qy.w6d.pjqdateat9.xyz,TXT,230
4oqg2t3.f5hq.boesveo.com,NS,50
.co,NS,89
bc317rv.co,A,213
70cx9zlbdu.xyz,AAAA,179
roevw7c0.oianceem.gz5.com,TXT,77
37rcsm18uv.com,CNAME,112
.co,NS,124
.io,CNAME,128
.info,NS,67
v38ow2o.qyf1lpw.com,NS,67
ywval5n.44qx1sj.info,NS,150
wkio3yqj0g.info,CNAME,205
6gu.eaqdtdc8l.com,MX,245
hk8c3dkx.org,A,179
n69f.yktpez3.tlux6jy.com,A,104
bpa1e9ix.com,TXT,169
95sl3fj8ix.io,MX,194
.co,CNAME,150
kmrzeb.xq51j6.com,A,106
1mrjy.60st9.t8m812.io,NS,190
e7kl7v.kb4gitkra.biz,CNAME,248
22xtp9zwn3.io,NS,218
qt849baue7.bwc.vpa7f2wspm.biz,NS,66
zbii.6700r9.u4ydrfe.biz,MX,85
qc04ve6cdn.jx4.sku.xyz,AAAA,195
.info,TXT,109
bv7sa5g.7jhufje.info,CNAME,225
hc990o5w8.7vr.clp5ei.co,MX,235
.org,TXT,42
dwe.hwmh.tgf8eregm.co,NS,217
c677518jpp.wufcd.xaqo3p7ttk.co,MX,163
.xyz,AAAA,162
.info,NS,179
vi01id.gtqlsrnuaj.unjxkwmcb.org,CNAME,206
lcik.y83k7zib.6ei.biz,TXT,189
wajxx.tdh8.io,MX,78
ic77ru.v7fk9ji89.5avgl.xyz,NS,70
uyhhyasy.lur.jilr.co,MX,232
b7eo1kk.74rii.ln4q.net,TXT,172
.biz,TXT,47
9q3aa5p1.info,CNAME,77
4960rbt9.o5m9eowrg.org,TXT,204
i2c.biz,AAAA,223
tt4ma.yrj.gjaulxnw.co,AAAA,37
.info,MX,67
7z61ibcbb6.org,TXT,76
bv0.54kwt52e0.nzsi1d1.xyz,A,181
8b5es.3ay.05k18kj.co,TXT,76
jzw4m.biz,AAAA,193
9ozq.ftrj.jy87i.io,NS,81
ylhnc.xyz,TXT,149
.info,AAAA,167
gptarw031l.com,NS,214
61k1b64.com,TXT,114
wh5q9lwph.com,A,205
zxmyvag.67w.lsr.biz,MX,46
3hs4vl.net,AAAA,92
as0der.la7w9m7yd.50r5jf.io,CNAME,48
.io,A,34
.com,TXT,93
.co,MX,240
.com,NS,60
.biz,CNAME,217
zxo.org,MX,66
.biz,TXT,71
.info,A,152
1tfebhsf.p8at9pq.otw4dik3.biz,A,61
2ofm9mth41.5h7w.afadvk.com,NS,91
tkb2.dmin12snll.sdxd.io,AAAA,137
.info,A,152
fll9czh7dz.org,TXT,220
cr9mai.5s7yvqqhb0.cueil3ta.xyz,MX,112
.com,NS,64
v9odq5uu23.info,TXT,45
.xyz,A,107
kw7qy2tere.net,CNAME,57
5ycuv.p4m43bp8u6.vtv17ch.io,A,122
4dwlbx.3nt.xtgfc3jb.co,NS,207
.info,CNAME,166
xt2p.7dgubj7f.8ohvr25.com,AAAA,248
ifl9.zzglb5bg.flgv.info,NS,152
.xyz,AAAA,165
.com,NS,85
smbe8.i94zdx.io,AAAA,101
tq10kkq0.xkjs63eq4.io,NS,188
xsiyvskoj.0ih.biz,CNAME,152
crtsqyb.info,CNAME,181
h444wxmslh.9oj40h3w9a.org,TXT,97
.org,AAAA,125
9bw7bhj3.xyz,AAAA,96
alm8h8n.net,NS,111
g48x.net,NS,159
.com,AAAA,175
t9jbg84qy1.wbn.7s6vk.xyz,TXT,172
xpk7.k6nec.com,MX,241
evzu9.t11p.5721f98feb.xyz,NS,241
256i17.hczxaoiii.ssq5e.net,NS,86
m1lb0.fl1j.co,MX,85
rr8.biz,NS,141
zdt.uc2.biz,AAAA,185
hb41v4n.io,NS,69
ac2fg24au9.ogf5qru1.org,CNAME,155
1vbjng0.td6h.jb0vo.com,TXT,241
44vezb027w.com,AAAA,210
frl0x8n.info,AAAA,176
.info,AAAA,216
db9257vhl.9mv58weds.org,CNAME,210
s0j6.ry9lq14ve.qnxbpn84.org,MX,236
801tc.co,AAAA,61
j83sxyon.0vg464m9k6.xyz,NS,68
1yca8t.kuoc0kk95v.w7h9ihv.com,AAAA,236
ixnwnc.93n.39tdhp1aw.io,NS,57
cvx.io,A,72
.org,TXT,37
.co,NS,90
8o7ybbwox.zhuj4v7z0.3x3eq9ut.io,AAAA,143
.org,AAAA,128
15g41ug7gw.7i68y.o40aijhsue.com,A,139
2jaa3f8dgf.ym2zxuuyy.io,AAAA,45
q15yzg.xyz,NS,102
bnn.wru9fik50v.co,MX,124
18eh.xyz,TXT,79
erjqjbse.3c1.net,NS,215
kkswf41i.apoy.io,NS,188
kzoaamqk.com,MX,160
413daah.io,TXT,55
3zsy.info,MX,205
1pk.zb7vgx.xyz,AAAA,34
8mndxka.org,A,211
817ul8.l3d6.xyz,CNAME,163
.io,MX,150
.com,NS,163
njgs4xh3.com,CNAME,86
.io,A,150
fi2iwivoaw.2od3.7fjbg.net,AAAA,246
h7iuof.com,AAAA,234
bmtcj.txeo6jq.co,CNAME,201
8atsrwssyp.9bigcnc20.g2p.io,MX,48
pkegse.c13ega1e.org,A,89
9gfcl35jr9.wr4q.biz,TXT,241
9vwdfg.yvt0srvk.ig62hx62.net,AAAA,171
kziid.co,TXT,178
4x8mgz1js.ak3axe.mqin.org,MX,61
vkxcuev.co,A,87
235i.hwhvgn629.biz,CNAME,177
.com,NS,219
mniec.dod.w2c8fza.co,TXT,86
642.xyz,A,240
8eerwr7r.tzv9pp.w58zvz.com,MX,232
z0cwo.eq3.com,A,141
.co,A,220
.co,AAAA,86
qk5usih1.jnmjgq04d.zyy.net,A,185
iorqlg15si.22u00c.co,TXT,209
3spe.org,AAAA,109
vba.dwp.co,NS,129
wlo.net,CNAME,131
590vg.alrb.com,CNAME,160
g5l.4nehx1b6n.biz,NS,72
yfp.net,TXT,116
hrgmu1.siyu8.net,NS,191
jec09u0.q24.v0571zt.org,A,182
6hdn1i5e.wtgnpv.net,CNAME,114
.org,AAAA,210
.com,TXT,179
cile0nti8.bphf83h5j.pj0z.co,A,62
kmo.net,AAAA,55
6hl.mlsntwq.io,MX,159
vay5p876.ouurz.xyz,A,44
t06yo6e.a6x2oka.info,A,56
vended.t8rqt.co,CNAME,133
0kkz5yn3.vc84b7a.0oey.io,NS,143
hxtupkp9ma.hum.kdci6iy61.org,NS,144
x0f8.6yrq4ju.com,NS,74
ljexps5zy.4fvj.xyz,CNAME,141
.biz,MX,46
ubw2vlu.com,AAAA,241
zgappu7d9.vp5nvkaf3i.net,CNAME,171
prd6.eckzz.biz,AAAA,177
hf0c55zvr.xyz,A,66
85zfgifw06.a3e.wnep.org,AAAA,97
.org,A,46
.org,NS,194
hbs.info,CNAME,247
exk48gu2i.krnxfa7t7.net,NS,67
8prnuq.biz,NS,168
fufx.6ya.sed3gwd.io,A,224
uqrsza9iqs.5emo2984.6yl5.com,MX,116
k9s.1df3owqo.org,A,177
sna.yg2r755u.bll.com,A,72
.info,NS,96
.co,NS,224
cus.oskfgrer.io,TXT,73
.xyz,TXT,157
jo9bc9mc.590frcdq.wrqe.info,MX,119
6p0i.6h35a9.com,AAAA,136
qfdz2fq3.94o0mpx5q.0vr.info,TXT,94
.org,CNAME,137
.biz,CNAME,93
.biz,AAAA,142
cfw2p7q10s.91w8tw0t.io,MX,191
ehk6sey6do.tdil037a45.co,TXT,209
feccywcq1.net,TXT,47
f1ar.p9ryhw9.4gkerw8fs.xyz,AAAA,171
xtrr.oajndc.e9eio3l9.com,TXT,102
1s9.xyz,TXT,30
cv3r8.ksnu.org,CNAME,101
.io,A,215
pla97wu.co,TXT,151
0s9.ox2.h9vdtqb.org,NS,244
jx4.809f.xyz,CNAME,73
n92689i7dq.11hi.info,A,249
9ngqba.org,AAAA,196
.org,CNAME,69
0ue.qao1.xrm9xny.org,MX,189
.xyz,CNAME,245
7vo.xyz,TXT,173
qsd.info,CNAME,140
.io,AAAA,79
axrxo.rwwtz3w.b1d368.net,MX,75
anlvx9j.net,MX,82
kqp24qu7.dvo9kg6.i7s9q3qka.io,TXT,139
i6hq.fx9xw3x.hl684eaq.org,AAAA,46
.co,A,207
rrev8.biz,CNAME,225
u1ar7d7wkk.8n1sa.r7ofpj.org,AAAA,54
wil0ad78yp.w6sony8.9d0l.org,A,77
j1tm09e6f.55m4ug7ki3.gpyrlrp.io,A,232
2nsbe0lwp.cppgwbzy.com,CNAME,151
5r8.ad8.xyz,MX,73
edq.kj8068nkos.6eq58r8fo.com,MX,134
65erkm2g.ysou011kb.xy9xza.xyz,AAAA,180
.net,A,41
i48v.rqc7zwea8w.co,CNAME,217
3oqtm3ks.yymoi2gkf.net,AAAA,195
psspg7jmb.biz,CNAME,127
.com,CNAME,82
fx5liemqx.mth.yl0m7t9d.xyz,TXT,176
m6m.i81eadm.61lpp5ornw.io,CNAME,89
aq795.biz,MX,66
a6o6j1nzm.9jkfhhp2.0x4ioozypr.info,AAAA,235
6la.org,NS,154
q0nrm1j1el.7hzq7n5.biz,CNAME,34
yozhopb.co,A,56
3z5ai1.xyz,AAAA,147
fkcrgi.643.org,NS,95
.xyz,NS,143
.io,A,33
fgx1pu6.net,CNAME,177
i48sgzl40b.gr0f.9mxk.biz,CNAME,90
9m1diazu.figifrbhyo.net,MX,236
9f0qdwphx.7jey5p6w4.co,NS,158
joo03gazl.emhmuor9xw.net,TXT,170
rjofxvy2p.nsgev6vpbe.26obyc1o.net,MX,218
qccjk.m2d20f3u.ia8bj9s.xyz,MX,136
.co,A,101
03me90v.org,CNAME,87
8ykim.biz,MX,125
gbkaxo8w.vvkjm.io,NS,107
nsjlu9qxcx.1s8f7dd8e1.9u6y29l63.biz,AAAA,196
wl78gv.ha4lt.9dpf.info,A,52
qxg64qz.io,NS,136
amcal.com,A,72
.net,AAAA,77
iurcki.kotqo.com,A,166
.biz,AAAA,80
.org,NS,239
1bch1r8.t30qhvm.org,TXT,213
lgbn.net,A,99
xym.bm9trqp702.5kk4lcw.biz,CNAME,106
sekdqdld.info,NS,222
x1f2.xyz,A,162
6h8.bdj.acd76ikl.xyz,MX,187
k0yo47tp.g5f3.net,TXT,66
.com,MX,80
56ncb3c.dvqihi.lrjqzxa.com,MX,38
.io,NS,96
osr10iucf.ckg3i781.8y1ooz8uu.info,AAAA,34
.com,MX,145
fp2mlaoi0.uh3c4y.dv77bbc.io,CNAME,226
.xyz,CNAME,36
.net,CNAME,108
80hzwl.net,AAAA,40
ns3mjs.io,NS,152
vzn42.a3y3xvu74k.co,CNAME,109
rwa2i2hq0i.y2q3c.com,AAAA,68
.co,AAAA,74
.biz,CNAME,192
fgr.pzz.net,NS,206
13trk8.cnjr.2g7nqy.biz,NS,43
i29s.9xtzuer4.org,TXT,95
xounv31gl8.io,A,235
ti0y.6szroo7g.net,MX,143
c0ynoxs.1zpj9uo5.xyz,CNAME,125
g6p16j5t84.7kpd.org,A,179
.xyz,CNAME,150
7w9kzh36.0654ou.nque.net,TXT,80
trw.xpqi.njxz.com,NS,84
8ajcv0g8.gv7ks3.lor.co,NS,38
.io,A,45
kgehld07i.jmzc.p0q7orpf.net,MX,173
.co,NS,221
fg53upmb7.net,AAAA,67
asumr8s0.ad5j.rsk.com,TXT,220
klafq4f.g9970.net,MX,37
nr42p.6bazzh.92m.co,CNAME,163
.biz,MX,104
.co,TXT,77
bbry71s.potczm.28qs10.info,MX,172
ltpo.8mmtyqaa.x5c4ed3.info,AAAA,145
ab2r22ek.in801pa9c.26f.com,AAAA,116
.xyz,CNAME,230
hna0fyp.kzfrjod.5elaggf5.biz,AAAA,68
4oj0.org,MX,89
wi8hmyc.4g2q5mhnqk.wmn.net,NS,200
.co,CNAME,215
.info,CNAME,46
ujyx.9scd.pb597.net,MX,205
jtd.com,AAAA,161
j7dfl0.yhy80.nvg5t.com,CNAME,68
9xg28ih17s.lu3d7fj.033945rln8.net,NS,182
tz7vcutvj.ymokhv.com,NS,81
.biz,MX,56
tksc35lu2.kubtilvd.frqq6.xyz,AAAA,205
j8srgoq.rwrk.67u3wb.biz,TXT,43
47azhjsupm.vrhncoc6g.com,NS,150
jyhxj.v7cy.biz,AAAA,161
.xyz,NS,156
3k6.6fk.yp9w62ije.xyz,NS,245
73fmpa8vv.biz,MX,154
dxv.07m4z.info,AAAA,165
566n9d58.za6fj4hgp6.info,NS,31
.biz,TXT,134
v1qhi.oo2kewa.io,MX,54
94ofclbv8e.otlz.xyz,A,218
lb46icu.fuotmjq.xyz,A,154
mt0n.gldv56vh.net,TXT,189
789ve7.xyz,CNAME,108
qjd.com,TXT,166
.info,A,77
mvsm0pe.l5p.pe0d7l9.org,TXT,210
bt15knrk4e.wtf26d9ayg.1y2.co,MX,228
t00lq.xyz,A,249
.info,CNAME,249
wwro.com,A,220
aaz2q9kv.biz,MX,168
54jy.0w86rljv.net,A,215
my9jtev.e96qa4mwfv.biz,CNAME,183
.info,MX,121
na65zq5.rsp.2byv.xyz,TXT,177
73uuboiqe.info,TXT,210
.org,A,113
5pw3.c9nrzozp6c.npt.io,NS,98
odd36vt.com,MX,220
tln.7ths29t.com,CNAME,104
gbrbs.biz,AAAA,220
.net,NS,63
xkkflfh6k9.io,MX,44
ly0hrvz.io,MX,145
zl83pj0.fl37pq5p1.net,MX,160
p6d8my95d7.vor.biz,A,126
rcvq3yl2t.net,TXT,97
i7jrxdg9.es22.kgl74g6.biz,TXT,170
.info,A,240
dhq.com,A,67
hjao65o.uqcg01p2t0.xyz,CNAME,223
j5q9afuwt.biz,A,59
4anuvjuu.org,MX,188
rsoa.4297fzahg.io,MX,31
liyg5vdyb.net,A,109
5fqaclhe.b6sy12f4p.biz,CNAME,44
i5qdlwd.org,CNAME,53
smmw4.i1kmhe.org,AAAA,190
843kl.1h3.2gc4zxinh.net,A,174
f1lx8.y7on5.com,MX,149
ui2iamlt6x.utc2.biz,AAAA,153
85bqeszoea.ai74p.xqhryt.co,TXT,73
d5c.04z5g.bangw6e0p.co,A,95
yffa5uv.121.xyz,NS,179
.net,NS,82
.biz,TXT,212
zz1m1.ck3qrx6.io,NS,43
kct07zx.io,NS,222
.net,CNAME,75
xr5fap.20cr.m2wsrd8j.info,AAAA,173
1rw0nms.org,NS,165
x56.io,AAAA,65
adwp.1g7.lv8n5j6.com,A,127
n4ti7a5c.xeznfpn82d.9o3.io,TXT,225
.xyz,TXT,37
.com,MX,94
.co,AAAA,71
6y24xwep7.yztvtyg.xyz,CNAME,109
79tdzu.fu4.mt7zvmc5.com,NS,169
fkb.org,TXT,223
ttj.net,CNAME,55
.com,A,71
.net,CNAME,89
x1etjdfx9.707r4xec3z.io,TXT,220
9j6qdfz.vb6qum.co,NS,227
.biz,MX,79
oo0mb95.io,MX,208
01nxh5.703yz3x5x.ypncp.com,CNAME,173
3vke9y.biz,AAAA,201
fsvl4se1sm.8sn1.io,NS,231
dbabal6kxf.lysl4e48.io,NS,135
or8ig8amk.8nnz13598.5j6a7o9h4.xyz,CNAME,213
wt8.io,TXT,63
ntuayx5.lb0bvffn.org,CNAME,78
.org,A,149
93i7qmg.5y56jq28d.lbe5r.org,A,209
.net,NS,119
cb6x.xyb.net,NS,190
.biz,NS,220
0kb3hl9fb3.u2sd2fami9.org,AAAA,165
vgisp.old.co,TXT,112
78gpi9nelj.leqgyqj.h77cq.com,CNAME,124
.net,MX,121
oe97uvl.r9k30nsy.info,AAAA,198
.xyz,CNAME,140
.co,NS,151
.com,AAAA,112
6vy2nlk51.xyz,TXT,94
spow.net,A,178
.co,A,156
.biz,CNAME,145
.co,AAAA,153
tv71jct.hegli6.40mk587z.net,MX,31
8wa970xjq.org,CNAME,85
27js.ssty3gm.io,AAAA,153
ldmgtfzp8a.org,NS,48
.net,A,137
u9kbgh8b0f.6yfkmi.h2ur287ra.biz,AAAA,110
4sa8nwqnfe.org,TXT,156
nuvyek0ckc.7a3bgk.wl9hlgt.biz,A,185
u0k33bryq.t1p.b2do36f.co,TXT,151
.xyz,A,176
3j8tgz.bj7g7fi.zdk4zcsjj.net,MX,108
68axiqjhm.co,AAAA,88
