domain,query_type,query_size
IM9SqPArE8.IPxnyqmERM.hIbnEEb0en.9pXN.exfil.io,TXT,141
7w5qif57.ziigctq.biz,TXT,174
ford.com,TXT,207
hz6t1dt.722.iokl6.info,TXT,135
wTF03GesXR.vOkYxcdmmk.RqRkd.exfil.io,A,80
marsh.com,AAAA,85
75i.0htzder.c4ky0cz8.info,NS,95
rodriguez.info,AAAA,97
taylor-baker.org,A,213
perez.net,NS,231
vinz.hvewj9v.i6871.brcn.xyz,AAAA,165
king.com,MX,162
cooke.biz,NS,235
daniel-campbell.info,TXT,85
jNdFkppsYK.C4k7aHsSvD.tZ2WWvpagA.c.tunnel.com,NS,186
8bjo.lkq408m.e5dqn.nr33.online,TXT,57
moss.com,AAAA,108
bradley.info,AAAA,171
js72.ax0rc.owh18j.online,NS,188
tucker.info,A,146
mrtJI63M2A.fTnDXKZ9TV.fAuFXvCv0X.xz3LplL.tunnel.com,CNAME,92
gj2m.mpg.36d2pa.info,AAAA,165
OCuV2B0nj5.LVWe7GvBFN.qv8bnjsPYG.Sdoolc.tunnel.com,AAAA,187
smith.org,A,159
woods-patterson.com,AAAA,41
xddB6kJjCD.f2yc3eySEi.YbbCtpgc1w.9QfFbWS3.tunnel.com,MX,128
harris-smith.com,CNAME,58
19Ny1PZdtI.ZYzBnGWoa3.DZ.tunnel.com,NS,43
063ddx.0jvmm.817s.242hu0k.info,NS,68
EhuZF8lN2b.0QfGCsA45C.SKYgPYuUPz.2cAgnWgdG.exfil.io,CNAME,134
rodriguez.biz,CNAME,249
hf125J3wfi.DtJJbdBXTV.YgX9J5vCfG.N.exfil.io,CNAME,134
oYjPlne0KW.PxD3owwnQA.GN.tunnel.com,A,221
iut60.c9b8wl1e.5bb.info,CNAME,186
smith.com,A,96
lynch.com,TXT,71
wvvta.l00a.am20a.online,CNAME,111
white.com,MX,237
EyekYIqe2w.TO8g3aRKLg.yDKCJITFnw.JXkcxkE.tunnel.com,MX,141
L4CoLcIkrN.d0aNkvKB7I.7GcH9dstbC.Hg.data.org,AAAA,31
martinez-glenn.com,NS,81
boone.biz,A,159
clark.com,AAAA,211
iygd91.mbit9f.hecs145f.9w7.xyz,MX,247
ray.com,CNAME,74
w9Y7sBAloo.vodRNLAkhw.exfil.io,TXT,60
harris-mccall.org,MX,189
dominguez.com,CNAME,104
dj9ujsax.udw6oon.dkceodbw.mwf.info,MX,114
nRJrCRqar9.iXgX1N64oF.6n7YSoTcru.5E.data.org,A,168
miller-bates.com,CNAME,169
jui5wpks.vck7.r0hp.xyz,NS,74
1i44o.h38mfneg.eiz.dkrw.biz,CNAME,161
robinson-hines.com,MX,38
gNTUHUfkJf.HMZRtUHbCT.DNOAO80m79.HkvgaW3.tunnel.com,NS,48
collier-turner.biz,MX,246
kennedy.com,TXT,115
OrJCmoc7hK.AZgaANpd41.cIdy.tunnel.com,MX,46
copeland-mckinney.info,CNAME,188
hj6bmq6.l4ofl07.j61zkz5.b7g.xyz,A,31
baker-adkins.com,A,199
allen-mayo.com,A,227
r1s.x1ouoj.bszh1.info,CNAME,75
xKUKY7NLbY.ZLOOVZBlL4.v5XJ0ExObv.00uujWVYgE.data.org,AAAA,140
0mrzXUe4jd.Dq4917XLhp.UnC1tK.exfil.io,A,221
vazquez.info,NS,141
MNXzC1Rrrl.0s6SC6h482.CtbCqmRUOl.6cXp.data.org,NS,158
avpxcv.szk5.bhpuj2.info,MX,75
t28.oq7tkhlq.oyek9fc.xyz,TXT,114
dT2AAFkF9s.DBl0fjJMnz.QtOi.exfil.io,MX,133
hill.com,A,241
mrk92u.kxv72p5.mxi.hd7s6erf.biz,AAAA,52
anderson-gonzalez.com,TXT,214
8y7kepw.wyugtm.oaab34bo.xyz,A,181
walters.com,NS,103
hp3aIQDEQe.KXPLG8fyyg.V1TBtbyt8R.rldIPcqC5.exfil.io,A,236
sanchez-cruz.com,A,229
nW1u8xvq0I.DBhPPjrgrt.GSr6wumGhK.data.org,A,94
martin.net,A,223
small.com,AAAA,215
grant.info,A,119
kennedy-leonard.com,A,202
hernandez.com,NS,125
w36ms7yx.ulmq.xyz,CNAME,83
russell.biz,CNAME,192
e1l.7pfk.info,TXT,250
dtbcCKsXbb.Dmt0XT0gFZ.kEy7AogAOG.no.exfil.io,MX,158
q13bwizo.nsi.7vbsj.biz,AAAA,68
mendoza.com,MX,83
9fztyitb.bvy7.46xr.online,AAAA,211
9ocU0NlD9M.FrkCDJZy5r.DGTh4NNYTH.x3dLS0s7y.exfil.io,TXT,55
merritt.com,TXT,128
FjJh9PyHrR.UAXlBcuQ5D.xAkK1aQPCJ.3y7F.tunnel.com,AAAA,79
V2Uxmu22s7.VHmHnfBP3O.oHCxVy9s.data.org,AAAA,154
uq12o3mg.x8nrp.0kt5.info,CNAME,157
rkuzdg8c.rb6q0t21.biz,A,131
jzoh5.d6l55kf.c4oy.xyz,AAAA,117
UaGNrId920.QHNe0lzuVw.lgQUWZm.data.org,A,131
coffey.com,MX,195
camacho.info,MX,202
lara-wade.com,TXT,190
williams.biz,CNAME,154
robinson.info,MX,208
rSAO1f88Dj.VNNMzW10at.HNpoTEGn92.9L.exfil.io,MX,198
u32aps.crigo.online,AAAA,154
vhw2z.evs.un2.online,TXT,143
k4qw.7jqm.online,A,41
yn8.vcuap3w.h05.mij5ntle.xyz,A,205
j10v8m.abe.xyz,NS,192
2tjtew7v.6u81j6g3.852o6bjj.info,AAAA,34
3xsxn9i.dee34jsh.online,NS,175
foster.com,NS,45
farley-white.com,NS,247
campbell-maldonado.com,A,218
HwWbCqqYPf.Mw8Hc5Yfss.0bCFF.tunnel.com,A,178
giwrq9.bcf58a.q4lq0.v7crh9nq.online,A,194
qvv27k8.ig5nyn3.za0a.biz,A,50
d9fg6.d29a.online,NS,245
alvarez-johnson.com,MX,127
u8xj0.xmxz3.04pz2e.xyz,A,159
garcia.info,NS,195
pmkOrKQSje.5ny53mJNij.hIqFawh4KV.litRgAWlOp.data.org,MX,161
40dws.4s8.info,AAAA,156
landry.org,AAAA,208
3m4t.gartt5.4mx.mvz.xyz,NS,97
kgv1s1ee.hhl.syd.r9l.biz,NS,43
z3h5.442.wg3ial.wjy0a.biz,MX,161
tosf5fbu.2sdcgqh.s1mvc.info,A,250
blair-phillips.biz,CNAME,147
anderson.com,A,183
reed.com,A,164
W4GaSNrpZc.81O54DGCDj.vAFZYI.tunnel.com,A,47
8VIpXafvEe.NDW1VYI0Z6.Y.tunnel.com,A,169
graves.com,MX,160
5E3by6OaWk.PnUwJkPmtN.LH9th7ZYxh.iK0.data.org,A,242
ok1o.vgmaqg4r.online,A,107
dPrve7dV1H.sbFuScMVWd.fGEeJivN.data.org,TXT,146
wtJIPan8ta.7xXxUzdpNn.Z14MoQgZPj.kARVsCRNJ.data.org,A,140
h9yt.m3ncks5h.hnwly.online,A,178
ramos-cordova.com,TXT,248
CtaJ6P59BR.xIYwZ7UBqh.4aiSOduNOu.qmMzkdMZzx.data.org,CNAME,87
oeTkDFSVrv.XzWXWC6os3.7s87Q4QGrj.fdu2P.data.org,A,201
bradley.com,NS,228
yi2W0SYdlw.TmxJ9auKP3.nuMQQ5wVbR.fi2B.data.org,TXT,119
LLzaQLnVX0.ldOzSVVvSV.8UN.tunnel.com,AAAA,34
0AD0F8l6UG.W5pZJr8LBO.7QX.data.org,NS,179
5tn.tjro0.8cbb3ix.xyz,CNAME,220
me1y.8cl.1ix9d48q.xqu.online,CNAME,239
clark.com,AAAA,63
RzbJxDcJsP.rGMLBTWzFU.QuKqKLkWun.D51x1A.tunnel.com,A,137
jackson.com,AAAA,184
stephens.com,A,93
becker.com,AAAA,222
1a568kxo.s99lg6k.v44q71.mcr5.biz,MX,201
HeU4CDmIzU.4rBOmDUNjq.W4aAGXRp3K.IhuTjOBF4.tunnel.com,TXT,48
q3gyu8FDTq.Jesyg1HpIk.qehbKr4zBN.GSDLfNV.exfil.io,NS,119
hernandez.info,A,41
4xd5bko.794ed9da.x53.4yi9y.biz,A,148
wLoedTW8ND.NturfcITel.x8AyLodcY7.AuIDxZIVG.exfil.io,CNAME,44
giyacz5f.tlm.sbwu.id16.biz,CNAME,101
k2capnac.ygoqhh7p.9igdq.nnq7k9gd.biz,CNAME,130
2n0b.dhz18dx.i19.l06mz9f.biz,NS,177
l24kjpc.k6h9.info,CNAME,100
IWmX6Wrat2.EqwqI4Uisi.pD3iUngh03.KDKt4qM6.tunnel.com,CNAME,245
kim.org,AAAA,35
8ukjyX8Pg2.Hq9NpBmFBx.K8cvkx8XQd.Eq14ahFW.data.org,MX,42
conway.com,TXT,141
ei8vztt.wy2fay.g71f.xyz,A,104
flores.com,NS,195
zimmerman-garcia.com,TXT,249
pena.org,TXT,209
2t35h.ivmgm7h.kum.od83j.info,TXT,48
reyes.net,AAAA,63
rodriguez.com,MX,78
z5436XFuyT.X12NehDa5S.D.tunnel.com,CNAME,86
u5oakfWaQe.fY2ZnmBN81.X.data.org,TXT,198
ZhnIFbx8if.HLVTYb39m1.xHAff6HNJ5.MermhSjv.tunnel.com,MX,195
jimenez-king.com,MX,234
AaqjO64SIE.sBQsVOVrKg.0NyAY97P7n.data.org,TXT,222
tran-garcia.com,CNAME,179
6edc.pkgxrik.zby0hkeg.wyer.online,CNAME,158
hyjKZnGwkw.VtE62RhUgS.XZV50iYhzn.Uy1CX.data.org,NS,162
nolan.com,NS,171
uj16o.eskw3.qc9qt9.online,AAAA,137
F74vCWaioE.jocNUt3qdR.XGF3pHBmJP.Y.data.org,AAAA,125
qngkev.gn77mrab.j45m.klwh.info,NS,85
goodman.biz,CNAME,32
santos.info,TXT,92
7yvjadu.6dy0oce.puf.7az2sji.xyz,NS,235
reed-stephens.biz,CNAME,191
mclaughlin.com,A,246
thomas.com,TXT,79
yuky350.g12vt.zpb2.xyz,MX,83
quinn-crawford.com,TXT,77
bqjoJReBtR.Iiuye8jBW7.Wx2BjaFXyy.exfil.io,CNAME,85
mitchell-doyle.biz,NS,153
cruz-watkins.com,TXT,194
mathews.com,AAAA,236
vbcFyDaOrj.z6Y8egMZYh.UoXjjp.tunnel.com,MX,35
9g3.awh.kud5px.biz,MX,152
sT19XeRDap.nFBUeyMPEr.A1ofjXaYP9.h.exfil.io,AAAA,113
a6w.kcc2x.68acn5.edhlvzd.biz,CNAME,156
white.info,TXT,138
smith-edwards.com,MX,61
k68d9q.74jnfv.jgcs.q5h37w.xyz,CNAME,30
carter.com,CNAME,223
6Xc9kK0pcE.C51RoyaBIx.m2QDcL.tunnel.com,A,112
5ih6zoyx.seo.xyz,AAAA,142
thomas-james.biz,TXT,110
tg4FlCJRzS.LSktKQONOF.OD3dp6KUI4.sZzGMgZY4.exfil.io,A,178
kg1o.67c3cvi.6wf1ku11.q7ps.info,A,197
9in2.fz15cfu.biz,AAAA,249
cpow447d.u8tjsyn.7vndjn6.info,A,30
Zfl3KYBLhq.zzywjC6Hn2.0Zwb86ytak.g12w.exfil.io,AAAA,227
y975pt.lx5w.14o7z684.online,CNAME,103
yo48yuli.z12wl9f.xyz,TXT,133
23jre.988.64l23sze.biz,A,54
gomez.com,MX,89
u4c8n.6fvwg0d.x75x.online,NS,69
FMoU6O8iJP.LgstchtL1K.9Bk77bTE.data.org,TXT,40
newton.com,AAAA,221
brown.net,CNAME,176
8dt3q9i.x8kudh.xyz,A,176
ufev6.jxp.ynkus9.online,NS,151
a46.cjn7inf.123ec9z.bv1.info,AAAA,154
burnett-kidd.net,AAAA,70
u4vW3lk9fD.uatqWgmTgZ.21F9mRJiK.exfil.io,A,227
rubio-johnson.com,NS,48
zPP8yuuCQi.QEk8stWhVy.6H6wi5.exfil.io,CNAME,107
SdFtpSLGp2.8XxDcnH8yN.BSSzyw.tunnel.com,AAAA,80
zk29.1ne9.rg2q.ab1xdmu.info,TXT,35
o1qn.lauj.38eol.biz,NS,146
xazc5h.08l4esb.6og15.biz,CNAME,79
parker.org,A,115
jones.net,MX,230
randolph-howell.biz,TXT,70
07kt.ean.o2fn.xyz,A,250
gdok6.75qkile.qk8ww9.online,NS,200
miller.com,MX,84
5F4CbTsKtY.3G5y6Xefq6.exfil.io,TXT,51
roberts.com,A,140
lewis.com,AAAA,85
eifItpqrKX.rvrncn0B4t.Qb4a7anmSu.VpAb7tvli.data.org,A,188
arnold.com,NS,82
powers-wade.com,MX,58
EHjzdmDUBT.HesExSq6Yd.GcIeFEyjZx.exfil.io,AAAA,105
stevens-nguyen.com,CNAME,243
adams.biz,AAAA,180
aZCgFnN6Dv.MvutJ2eJIW.cThdze.data.org,NS,160
martin-black.biz,TXT,148
evans.org,AAAA,148
x73t884.9he2d.5r2gbsj.d46bmz.online,A,239
wheoFysw7Y.J2NcdR9hAu.5LjdDdkW8.exfil.io,NS,235
8njaeu1i.brv9t17.c8yrg.info,AAAA,119
spencer-cohen.com,A,218
taylor-peterson.com,AAAA,143
Fwsbs5X68n.ET92kjsqVz.exfil.io,TXT,202
Ry39Eon6t5.1fEdWF3kgT.ENZgiL.exfil.io,MX,57
jacobson.com,AAAA,162
qwP0iXTggM.wOLWAinyIv.mbBiE6BxaH.08.data.org,AAAA,188
turner.com,NS,65
d85uln43.g2yc76e.9i1xjss.ifiq.xyz,AAAA,183
q5jfj.1xzae9.xyz,MX,91
exnfboue.q7vyyh.info,TXT,128
sN65RCNtsp.JiAy96b348.lEqu0w8Lm.tunnel.com,A,61
bass.biz,A,120
johnston-mcneil.com,AAAA,238
l9ir0169.63ejs3.biz,NS,178
holland.org,A,56
taylor.com,NS,42
tG1qevxlCU.I3f8npLutW.yVNNdZ1aqc.5VsO.data.org,CNAME,149
1ADkk6kuCo.5HweTPkXDL.Ao3BJLhBF8.kWp.data.org,A,51
viildq.7lh.xyz,NS,88
moreno-adams.com,MX,139
y0q.hf1.gahq7oim.tcl4i.xyz,NS,109
chambers.net,TXT,160
vy32g.5pro.xyz,A,232
ArnQVvTFz5.v7Tjspu6Ni.data.org,NS,48
black.com,TXT,241
EoDyssJVu0.jvPMn39P6c.gPZ2yLZ3f.tunnel.com,TXT,106
lewis.com,AAAA,75
Gjt7FRNO3T.MYx98DTrj0.oJmPJRu0oM.Kin2I2AQq.tunnel.com,TXT,145
LWcJRz8rv0.XzDG17RsWn.jrYNsQb7Dh.d.data.org,MX,224
wilson.com,MX,118
YJO6rXz988.wQ4SmDqBJy.lpTecRfhpi.SPMeNa.data.org,TXT,180
davis.com,NS,219
JHr2wsRLbU.3VoL9FfOQK.XBHiG9utdU.Fw.exfil.io,A,246
3zkpx0.ffyp.q2m.myl3j.biz,AAAA,227
M5hItILpTs.jHTE34N6PA.A.tunnel.com,AAAA,185
izy6chd.gyo6kh.fc6wg.gow4wnn.xyz,A,135
jenkins-schultz.com,NS,118
DaxWtVlRI0.LZZcHfzCzC.sJkz5FE.tunnel.com,MX,95
rodgers.org,CNAME,102
pydlE2E5TM.UKQzi7N2g6.0Z.exfil.io,TXT,62
boa.wz2p.nrqt.9mu8lw2.online,TXT,59
ew8x7qw.nm7dqgz.info,CNAME,115
aB4jSklyoI.J2FWrJHRKr.apqcejoXbA.F3tJ4Sp.exfil.io,TXT,187
8xmyxdFWPd.6dI0zb1VTe.1hPq.tunnel.com,NS,36
king-davis.com,A,118
bb4BKJr1ni.RuHJAEFST4.zZSaXmpca7.Ob5.tunnel.com,AAAA,102
cantrell-owens.com,A,73
bm1h.7kx5q.ekjb.w3sxxc7.online,AAAA,132
walker-gomez.com,AAAA,199
sopeo.vtl.fyothob.taid5i.xyz,AAAA,64
4jvt.l1cd6.t1s3.79zpkg.xyz,NS,218
roth-hughes.biz,TXT,222
YEP1ZMjou9.MW7f0UxH3c.rlaL4E.exfil.io,A,45
t29bc0.to9ao.6au76.xyz,CNAME,198
8qe.lg0dwl47.vrrkdcwq.xyz,CNAME,163
davis-bennett.net,MX,240
perry.biz,NS,225
2isApUaVyj.bEzz1eVOHh.0UEgPx1RZE.0jiJI.data.org,MX,154
HaNDNRiEL8.haU3mIa19e.0rhrq4o6ZI.c.data.org,MX,199
d2eh.94d5b.info,A,205
thompson.com,AAAA,150
wncrjm5.u1a6vrbz.xyz,AAAA,127
gilbert.com,TXT,76
mitchell-saunders.com,AAAA,33
bautista.info,TXT,206
1uY137r7H2.xxG4S0S4u0.Fd.exfil.io,A,151
s8s73xpq.uph4j6ms.online,CNAME,61
gutierrez.com,NS,56
wFqDeSW7dL.pCBzJykxQn.ZgzdzraVJX.exfil.io,NS,191
ndbi0N0d9n.HAYflmpg8E.V.tunnel.com,AAAA,101
watkins.biz,TXT,74
9GaEvaBpV7.IT6VcrJ5bB.w5PouV.data.org,MX,225
8eDQgz484D.XSbkpmycB9.hfNAgxaDYe.JDyoZ3.tunnel.com,NS,118
thomas.com,NS,240
SXioez5UJ5.D7IFDaq95G.undA8VWRFN.7.exfil.io,CNAME,234
baldwin-ramsey.com,NS,66
F8kzLyt9OE.jc0TvdDueh.kqzCLL6mFj.6icdtKmwYG.exfil.io,A,110
diaz-morton.com,TXT,249
5hHqa2O5Dr.veUYkRJ5cF.Ej66llJ8kd.tunnel.com,AAAA,194
z4AvQfgQ9p.kZNfhEgfCS.V2CRblWbG.exfil.io,NS,116
sx0023.spmysyk.rp8xbz.online,NS,85
yhn.4v8iw9j7.hpsj.online,AAAA,164
hurley-hall.org,NS,115
B5BWXZUcqd.qgTEld9Mqw.RZWP3hzMMb.exfil.io,AAAA,199
kvgjq.q7j7b.k0u.xyz,CNAME,45
dqg2Wr3u1J.4Xlrbzml7W.bx8D1EjAb.data.org,MX,107
lUNlMZxjAq.mkLyeJtXk3.khj3PP.data.org,CNAME,63
allen.biz,NS,228
chang.info,A,213
2xc3.vwu.xyz,TXT,35
gsVaaCOyXT.tZ2Qjw7VNp.BfZ73iaF.tunnel.com,MX,236
morrison.info,CNAME,149
shaw.com,CNAME,33
56z4.542pkc.ue0by9.xyz,A,74
patterson.biz,TXT,217
ross.com,NS,85
bbhk6.a9brku1.ppcpsnxn.biz,TXT,211
key5p.pd4zq.57i0x09.z2eqry.info,MX,159
z6wsua.90pm.l5dq.sk0tgrpl.online,AAAA,103
parker-cook.com,A,134
lzpd6z.pz6ijoo.7tsxuh.fgos4.online,A,241
umcfL5SPDJ.rG6UEx7Tyk.2yVEL8TIH5.nyK.exfil.io,NS,98
P5KXaG4lZ7.ozxSJHalz0.GhlZqhpsFI.xTay.exfil.io,CNAME,243
v78wy9GoXj.iLOqFfXRLz.pk8CIYm64B.A.exfil.io,MX,133
mcgrath.info,A,226
RMemqVrS6w.EMWmjmtHct.laGrKYIWT4.Nwa.tunnel.com,MX,128
lee.com,MX,84
simon.com,TXT,108
pKiYfRUbsg.oK4VoaMuXw.ohD3g7DnWa.5Hk8l.exfil.io,AAAA,190
ml2way.s1b9.info,CNAME,250
travis-walter.net,MX,170
dj9gemo.9jq42fxk.info,MX,53
turner-johnson.com,AAAA,181
johnson.com,A,177
herrera.com,AAAA,123
kelley.com,A,114
LreOx5PnHW.ToRpBYMJ8K.6qxBm2eP4K.EmTwh5PN.exfil.io,A,215
q8t.avgsp2av.s9t.xyz,NS,129
DvyzzMTCFY.wc13dKazHu.t6s4u2SWeJ.data.org,AAAA,139
glsvy4.kmxhw3zs.obsud.9u2zv1f.online,NS,125
8svzH8iFB4.udxK8ZuvNR.t9PX6vFqst.fr.tunnel.com,A,222
wright.com,AAAA,49
jwv0.6qz6cvn5.n8lb3el.gzd.biz,NS,59
owen.com,CNAME,114
rich.info,AAAA,241
l4gzv.mxcnt.online,A,155
ylMXaYlpUu.TPN4586iHx.0fP8YvccwM.g6qn5G.tunnel.com,NS,203
vvy9jzd.ym8goh5j.shwy.online,NS,192
jackson.info,AAAA,215
c5bosy.epp03g.85wnww.y6j.xyz,MX,116
wWSRBrvQwS.pXWK4lgeJe.tunnel.com,MX,116
novak-nixon.net,A,65
gonzales.biz,NS,221
carroll-baldwin.net,A,199
conner.net,A,47
bytjf.vrs.info,A,71
3BoGJmHk1T.wf8VrGxCb0.k6tCVLzAi.tunnel.com,AAAA,115
jones.com,NS,202
ib2MyszYCm.PReR4TOmb6.7v7iMSLAVs.exfil.io,AAAA,133
hoffman.com,TXT,113
dBWkC6vtwD.uD7Qm85qLk.LQqGPnAlzT.Ir28fum5E.tunnel.com,AAAA,176
1ch15.dobaxa3j.6438b.info,A,229
32p9zp2.yho.10atg.vkd.biz,NS,71
rodriguez.org,NS,149
OFQ3hU8fsK.3ldqCmOZsh.yNBCFII.data.org,CNAME,210
z7lv.2xrfum.biz,A,88
rsrfes04.g28yr547.xyz,CNAME,126
61x.p33v4u30.xyz,AAAA,100
6pBUqsGQLo.gnn7H7PEeR.xMfdUtyr.data.org,AAAA,149
r8pc1.l5qum5xy.xf23ai.online,A,107
franco-rogers.com,AAAA,196
hubbard.biz,MX,73
trujillo-gonzales.com,NS,113
tran-wagner.com,TXT,173
3PJf28ikRG.xGcOis2Vij.dRhAgkKghQ.WJ4.data.org,MX,108
ZDLh0ou6iJ.4H2eIuWBhF.MI3mT1Xbmu.yr.tunnel.com,CNAME,54
w2bhn2.tlc7ytt.xyz,A,249
hfx.xeo.zg2k.n50xypm.info,AAAA,102
5rWKPz0Ktv.iCzVB4YXhT.tFd.data.org,AAAA,142
4riNsCtAR8.3Jmr9KPbp8.GX4l7nKgwS.U8c06Fik.exfil.io,AAAA,129
srkm.lu4r06v.online,A,69
aVxKQP6q1T.rCK4ALQMCm.xbjeysOhH0.GC7Chq1.tunnel.com,NS,66
montes.com,NS,150
8pegoo4g.4fh.lo72e0f.bf2uc.info,CNAME,44
HQQy4zW6Fh.Qi4StDyWvd.3UlVDC1D5k.OlLk.tunnel.com,AAAA,125
rice.com,AAAA,152
1kkns.d1ho.onb.info,TXT,228
hernandez-acosta.com,A,219
5KNwkjobxu.wgxwWgucL0.g8g8w4dzdR.X02xf.tunnel.com,TXT,80
gnTTx02ruI.xjHuhJPneP.u0k1I2DYO5.uB48Y.data.org,TXT,211
rhodes-hill.com,AAAA,216
BARocbie8T.ViOUDW58ov.XWhQJAHI7Q.exfil.io,AAAA,211
hendrix.biz,MX,168
301j1yp.98khr.online,NS,77
montoya-howard.com,AAAA,79
schneider.com,MX,93
58nq65.93eg7d.4xvey.xyz,CNAME,232
avery.org,AAAA,54
2j0TFRZi6G.n5wlhbsKD6.8dHO.data.org,TXT,68
usx8vvyZhj.6yYfeC3XJU.tunnel.com,AAAA,34
hw4g.fyu4.4gqu3ag.info,NS,144
6jy4lyml.unbw9r2.n09j.info,TXT,45
martinez-randall.com,MX,141
boone.info,TXT,205
mPnsmaO5Ov.as6MmDiREQ.Nj6CX1F5s8.npQd.data.org,NS,204
fkbh6MTr3I.7mRuBfReAf.jY7CH5ZrIK.o.tunnel.com,CNAME,199
2xb7t9ml.a8dy0.online,A,92
yzwx6o9.8224c2t.info,A,249
GonXRkJfgZ.D8zWRul5t1.V.exfil.io,TXT,171
UeJtpP3J8A.0KaOXfjhNJ.iSwz.data.org,A,62
kidd.com,TXT,199
MlMv6UJ2wQ.XgvFl5s1BS.cKpzbL.exfil.io,AAAA,89
b5dtWLpWcm.7Brxw1zYq4.okcsDrEEgt.d8i.exfil.io,CNAME,50
walker.net,CNAME,51
castro.com,MX,88
YXhfSjHScP.wTBwHNa8cQ.B.exfil.io,A,176
biAD8HsBxz.xmCDmmDmez.NQHThTmU92.tunnel.com,AAAA,202
smith-christian.net,NS,51
vlb3t.qiwpp.da3.online,A,175
baird-clark.com,AAAA,101
n8aqz22.uwth1i.xh2o7.online,A,191
avery-nguyen.com,NS,128
james.com,AAAA,155
osz.zgy.wbh51c0w.wcml.info,NS,204
m0jjtg8.0omeit8b.w0g.info,AAAA,222
stewart.com,A,123
hdyyh.fpatx.online,AAAA,209
randolph.net,NS,219
nsxam.up8jfy.g6u.3oraiuv.info,NS,151
SOpfs3Ue6X.hANuMRutl2.KGgl.tunnel.com,MX,119
hall-brown.net,TXT,68
xwasd1ti.ll0.xyz,CNAME,213
ortiz.com,NS,144
kHRUesPK5G.SE2Avx4FzT.m2icfGDHz4.EXuDiy1.exfil.io,AAAA,163
3tlcf.g438g42.tqi.3189.info,MX,231
richards-hughes.com,A,169
barton.com,CNAME,190
