domain,query_type,query_size
sj4gty8V4L.e4HmXExz9G.s0eOolp6OX.9CN3xQLiVk.data.org,CNAME,182
wmMRouTReE.oSVo3HWfWm.Jhp.exfil.io,AAAA,217
powers-saunders.net,MX,237
singh.com,A,223
murillo-lyons.com,CNAME,187
winters-bell.info,AAAA,165
gtpeu.fxv5lv.online,TXT,131
pena.info,MX,228
n6DSotyFtU.jlwaVQvupR.Idtwk.exfil.io,A,184
wgny.qza1n.biz,AAAA,88
gDuPruvXRB.FZimQ44NDV.GwoGGH3Xm5.C4.data.org,TXT,97
6kHKA1OtFx.5HFyNyKIZ8.85F8IJNQSG.9Opufx.tunnel.com,TXT,140
ssMZiq7Mpd.6mBMJfUCbR.HaSasL11Mn.data.org,NS,197
5qx5cns.jnt.info,TXT,204
DX4BqYs8Gb.FqdNqIbQvl.q8VeuODd8C.fctaXbWD.data.org,MX,188
BUcIofhPEV.IS7x7nsyC5.AyvX5YKW0t.xM.tunnel.com,NS,239
PLueQN5nrS.tsAA9f5Wou.t.exfil.io,AAAA,46
03m9.un0i.6h3z.online,TXT,71
e406.4mv1mndu.online,TXT,224
4gwab.lpat2nnd.9lwi.5my9.info,AAAA,175
mFJbv8VmkS.wIJb8w3ce6.data.org,A,31
SuUvGEDK1r.W6ltLcl6Q2.U.data.org,CNAME,176
639dz4lk.10g5fg.i3resim.c7k6v8.xyz,CNAME,74
KAC7jWyss8.NqRVQtcZds.skOxTx.data.org,TXT,95
8PEJRhFwoS.BSvRPBCdwh.data.org,CNAME,169
9xYp3cHQv1.mgNd5sAArm.p1WZlsL.exfil.io,A,75
7DM4iTZta4.cxUwl8sVFZ.gwVvGF.exfil.io,AAAA,236
perez.com,MX,99
IpOzbus8g5.OxsPSzaTiV.rV.tunnel.com,NS,89
u08ufbX0Ur.qZFM7itACU.K3NmOf.exfil.io,AAAA,39
aeiU1ybtTZ.v2nOsyQkRU.uRSw9pxP.exfil.io,A,219
qpyus5BIuw.wrfiMzL1Yz.sV.tunnel.com,A,186
6ch.e134tjn.online,NS,78
C01KInGEJo.3hBkw9I9BP.a5v.tunnel.com,NS,236
lkp.f9pgl1.wd7s7.online,CNAME,165
qo61.hbw4tnvt.235jw7a.6xge.online,NS,167
ku374gvcis.PvoX9owqUC.LcvYyyPWVm.9OZlGeLj4.tunnel.com,A,148
kpe.epm.online,TXT,140
1vczz.vwkpw.3543lnc.xth.xyz,CNAME,115
mcknight.com,MX,74
haley-jones.com,CNAME,41
anderson-johnson.com,AAAA,129
CTXywVvsQ6.cn2gDAveAp.Q.exfil.io,CNAME,168
do3uahaqaR.LSJuhum2a7.IgKYmn9n07.wuI08A3JeD.tunnel.com,TXT,119
JtR50c0x1O.Romd6E6yEZ.QChI13Ct.tunnel.com,CNAME,65
chandler.com,TXT,67
7A3dWeLVNZ.cZd8S0MycJ.26I4.tunnel.com,CNAME,83
fnxp4r8.shpi.iwmvg.xyz,CNAME,222
Rg0VRdOp9s.D4ihhpZZqQ.eoX7iZeK50.TLQaGArGW.data.org,NS,111
77dV4AXrW1.S20mC3Q5et.BWHgZwLQ.tunnel.com,NS,48
icW5edlCV3.bDZ8vLiRsN.cuPKpUI3fm.4ak3S4.exfil.io,NS,181
T16GdRdU8t.imk1g70KDV.IVdD0groo.data.org,CNAME,55
Fu6iBhlHiD.Y46rBcmGvT.hedgE.data.org,MX,152
garza.biz,CNAME,227
williams.org,MX,48
oX4PDlAxfN.u7luBI3ChG.5JEXb3AoSx.lD1IJm7V.data.org,AAAA,50
HBIJflEGNI.2hElNxztfL.j4K2a4nLAX.asuwLhm.tunnel.com,AAAA,202
PnbxdmIKvw.ar1u4nbzX3.8tpRhhqdIy.Z2kOUS.exfil.io,MX,165
rlqvqa5.dyxhif.45snr.g31zhdu.biz,MX,115
VNCkGArC4I.FSnHrrXI0J.mEOYs.exfil.io,CNAME,116
dsgpbr.191t.4jhxijm.0dzmp.online,A,194
anderson-lowery.com,AAAA,130
qqem08C1OB.dNfmkLxvGr.k0HjUDJ6KD.5qNB.data.org,A,106
ixx.5k6h3.sv3nys7.xyz,NS,151
dawson.biz,TXT,50
gwQ579ezvP.hFbJP4sz3E.4Pv45umvAX.5Ieub.data.org,MX,152
esparza.info,MX,127
williams-fisher.com,CNAME,171
qsifxfWRIt.64rj4Cmwub.UpoiSeRIn6.xAvBcRsx.tunnel.com,TXT,227
IIPtMHxYQo.9ZUDF83ihf.KyY75EMF.tunnel.com,TXT,239
Q5YCAv7N42.Jfr2Q9tpZc.O.tunnel.com,A,201
1aioq.udptc.n5wpcc.biz,MX,39
nzJJgvDkha.WUu7ipaxhj.U2q1gc3B6l.wfpqppG08.tunnel.com,A,139
QB788I9wTE.rQIiVKRoqT.hXNePOF9ec.Os9Tr.exfil.io,A,49
fXNmy952GF.gjcxpsg1o4.ERFr2AyJmQ.8.tunnel.com,TXT,167
pSFSbaHE5j.CW8b78Kuxl.vaTWOS4.data.org,NS,225
kERZLZs1zB.9RN2EjhcCi.n5yd9JH8I2.tTn.tunnel.com,AAAA,149
LC1oc2gABP.06qmSr9Vbp.YVlBa.data.org,MX,66
west.com,A,123
seCQvpN0im.H6sFGao9Ut.7Q.tunnel.com,TXT,138
xztOUUCsIp.tbkfrDZK9a.4WUEN4xlVB.hCbvMA7l5.tunnel.com,NS,38
yYkDvkzVRK.cNV60rDmEa.sLBiQvnJ3K.JiHk.data.org,AAAA,241
brown-lee.net,CNAME,133
WdgeVrRRNQ.GTrwFEhkwL.IimiqlRVdH.kdpYWGX.exfil.io,NS,147
diaz.net,TXT,115
spence-gonzales.org,TXT,159
Ir7atp1zy0.n8etmdSUkj.9CfB.tunnel.com,AAAA,55
0kBWCeXHqY.LIz3HLV9rv.SrjBc2ZaFc.vzhn7Z2.tunnel.com,TXT,240
kY1fwwSsJy.aL86hnb18B.sDs.exfil.io,MX,50
g2eh9.19rabvs.biz,NS,43
d1USzFNEK3.zfywQdoBtm.data.org,A,106
scott-may.com,MX,98
christensen.biz,MX,93
T5IBLpU3BE.rCgliKhUfv.jAx2Z.exfil.io,A,191
t52X2vvaGJ.j7ZPZGOaSP.Et.exfil.io,AAAA,106
g4PDRYX12z.6MkZzW5QmO.Vgq.data.org,NS,139
vEEbt5xa2l.EgaDyoOajM.exfil.io,AAAA,188
conway.biz,A,161
beck-johnson.com,NS,73
fM0DO3xykf.5IDRE6jLtU.l.tunnel.com,AAAA,190
brown-reynolds.com,NS,86
KlbOMrCvKI.ZZ19O8ujnL.xL0405uEiE.irV9.tunnel.com,A,50
YcycX1pxK8.8ObsbM57dz.PQQc.tunnel.com,TXT,247
gardner-jacobs.com,A,94
VoTkDwVsRf.HNDpYIjoR9.Qg2lkeuKrK.tunnel.com,MX,219
gt0e52xHPy.O5XU5BPht7.hfoL8nT8dT.iNmAB.tunnel.com,TXT,125
tf24.6tod.info,CNAME,180
6qkIH0tWXv.dzdwK1m78X.gQ47iHxev1.V.tunnel.com,A,146
EBzpqa2qIa.EGNZzE5Spz.kjTMH2dSCZ.data.org,A,163
X0PRPS1Xgj.FBRYZ2Dmth.vVLptE3P5q.aFy.data.org,MX,47
WDYl8et4LM.PknuEc5NSE.DahkRP.data.org,TXT,198
4vlrR1H5cv.fWOzmx1OlZ.t.exfil.io,MX,117
boyer.com,TXT,145
gJU3oOzWpP.kCuPh1fltv.y6wBnJ4v6E.cFqnR.exfil.io,NS,153
ot458.xdohjk.info,NS,162
fYnQgq7aBn.8CsVIRKLl0.AN4sdvlw8O.wBxUEDrurG.tunnel.com,A,194
romero-gentry.com,MX,149
XuecfsQcGp.DXnJrJeQ82.g4LtvuAB.exfil.io,CNAME,134
pzoc9.ysue.xyz,MX,41
c8wjLBUPWT.6h0BA6Hr8L.pJ8SKTcJIq.RoUaHGvlh.tunnel.com,MX,68
KYmWXHBXTP.fVBuUTytqh.data.org,AAAA,165
f5N8WjcKJJ.nxkRHzHU1n.pPwlIRuc7g.tunnel.com,AAAA,55
sanchez.biz,MX,66
cook.org,AAAA,106
AHal9WxYJR.FWS2IjZUJv.tT.tunnel.com,AAAA,34
qWkaw6D50K.QlMtrQglsl.NM225WaceJ.tunnel.com,TXT,168
liu-leonard.info,CNAME,132
smith-jordan.com,AAAA,145
4r9KSndVc3.QsbjruXut9.FXH7ssQVHB.1nJx2upT.data.org,CNAME,103
A5dNqFhjJN.nzHtG3jtQ7.6xJJ7ok9XB.aMlOb3x.exfil.io,TXT,155
allen-harvey.com,MX,175
KezYRpebAJ.x63K2apSHK.XjCTg69r7R.SlDjBkg.exfil.io,MX,67
wo5dlwi.n1fcrj1.rehnefx.info,CNAME,237
iBivz8SZvl.rQzyNrCscY.55tPZ1chxx.2Q8k89TB.data.org,NS,166
anfTN4KNqe.eW5rQiP4iL.w1wg86zBG.exfil.io,MX,71
KCBAVSZ8RR.aBHrHn5sT0.56QxlJ14b7.o.tunnel.com,CNAME,114
rvZ4jMiPfK.Iqjyutp8NJ.DO4G.data.org,NS,139
1cLLTLBT23.fDOEw1za6n.6zbjjlX43D.DSFej9J7F.exfil.io,NS,199
QsYelhr2Ae.22VkhknQiH.Q0H.data.org,MX,101
zq2O9B9moc.IjEqclMY4d.OfmXzwszHS.Cjx3kw4.tunnel.com,NS,140
YR8Lp45YW4.D2pgM5L4Om.taoQ6R8x69.qnHE.data.org,AAAA,127
MGCHEMGVCR.aUKmflLloX.fhsDlXMdYR.data.org,NS,73
2do8.ethp3tf.chw290u1.w8cbwn.xyz,NS,143
dUuUbtACH4.KfSCZuuM7b.eegZg7E8Iw.nhDEu2.tunnel.com,A,125
castillo-harrington.com,A,126
2AZkwnISyr.sR0nPF7gsP.exfil.io,AAAA,94
johnson-harvey.org,MX,235
miller.info,CNAME,40
kwln.xlv7uq.online,NS,39
prince.com,TXT,157
nIlrZFqDWR.W6q31lK9Zl.tUahe6NEHY.emmiF5.tunnel.com,AAAA,76
dseoh.fl78s6s.mjy.15ph7.biz,NS,49
5ljDtHz00I.6cHXc2yL57.mmsfjsNhbl.xKjI7.exfil.io,TXT,117
L3S1CH23O0.OaX0zE7y7Y.ALQu.exfil.io,NS,71
green-glass.com,A,127
0ZpYe1Kg6k.yF5t1Uqcyp.exfil.io,NS,163
wHVcmAaSM0.vn5ZYLoCWH.fpdaZyPA4.data.org,NS,114
Y841BMduqD.afohjkX4LF.ZDIxn6lzFd.t6QGdu9lLw.data.org,AAAA,244
SfsDDLYcYO.nApRuFn5yi.gcMt57.exfil.io,A,213
uv0.42btfg.online,NS,31
0SLhtUudaw.h2EeY5BK5P.r9pRVftQlK.3LojVZUXR.data.org,CNAME,180
davis.com,NS,188
3PCgJUj8Jg.i5Ru9YFm0v.oYu.tunnel.com,TXT,246
pitts.com,A,237
fox.com,A,117
dickerson.com,AAAA,205
WzFme0nxfv.EBFYiQYCXl.xZKyx0.exfil.io,A,72
K4BLbpKG3q.3QCYDX6pWO.9UYimRRrca.B2P7NZ.data.org,TXT,169
76mxbse.cen97hnd.3fp2h.online,CNAME,181
jxk.l3tlrso.biz,AAAA,71
0gx4.sexiw.info,CNAME,128
m7f9IrJWmW.sqL8LVV7PO.B8pBfFcqn.data.org,A,74
aUpJQvOHVz.CjGMTc65TQ.tunnel.com,AAAA,97
r3nfktqn.vnodmb03.2z3egdov.zxcwx305.online,CNAME,74
a7fJZjbLd7.XGmbp1bVwr.ib.tunnel.com,NS,193
page-hall.com,CNAME,93
RZCPP4Styq.t5U77rkzXB.GoleCM0D7q.bXg1c10lR.exfil.io,CNAME,235
F9ZMNcPTFQ.NZukcipjaJ.3GyYmE6.data.org,MX,99
t0VdIdJHJa.GS0rjirsQN.h9gykV2ALA.YB57dZn4c.tunnel.com,CNAME,93
gJzXeqcTdh.nW1EqKGSHU.b1lF4Ld68k.exfil.io,NS,233
x3AkwGLThR.jWlMhYe5AK.4.data.org,NS,38
H8epYNxdcA.LpFhLpfPGY.AFpcEeiivu.exfil.io,NS,233
miller.org,MX,220
RlAthWJXJE.UtnLQn0ywM.qSWvZ6XdJM.qmxZ84lQmV.data.org,TXT,104
jr0Hdy88Xs.MIdvYxLZik.lLFnsk.data.org,MX,190
dtw3n63y.55e.a32o.6dn69.xyz,AAAA,122
Iy8Y6m4Em7.yKLv0jH2Ml.gLE8aoTqjf.MJa.exfil.io,TXT,40
johnson.com,MX,57
martin.biz,CNAME,163
NlaOciEM2M.fAXXNMF36R.tunnel.com,A,213
Zxmdc5OOZ6.7ga1zfftqW.g0ScfC.tunnel.com,AAAA,241
TfpXZHURYu.XjNnnCzic3.dpFpvG80.tunnel.com,AAAA,107
av4g.sc7tvm.6we.online,TXT,140
carpenter.com,MX,148
vlo.zpkqan12.twtm6.biz,AAAA,134
ri1rv.6ox.bsar.xyz,A,54
0vmq7.8a7imf.biz,MX,40
Mw43feTUfo.nwPvTe3MSk.gSLio3JvoX.RXYdbvvOA.exfil.io,NS,202
nguyen.com,CNAME,43
wp2hwil.lcb1nm5l.tsfnz.xyz,MX,125
4zaOmytIAJ.6PVgN4nV3g.Nj.data.org,CNAME,88
opJhOUIa2m.jHfxrF4eOS.PxIJq0fYL8.k6.exfil.io,A,66
2lrq5l.zi4p.iws6sys.online,NS,111
watts.net,TXT,130
jackson.com,A,186
daugherty.info,AAAA,166
awjHiWwP7K.zYRP87Me1s.wGQ.tunnel.com,MX,215
dAmEtYcWJT.R9VxTCSJJa.ZDEjOt.data.org,CNAME,203
hGyhFj7NDC.dSaF9PUoa9.LYjF.data.org,NS,211
abc.xwcxom3.bei5g.online,A,94
zPyFnj3FtT.njfsY7C5Lj.TnHXB7wjm.exfil.io,NS,89
pyAoz36bMS.eMQzgclIbY.L3UBcnLs5p.XZYEk.data.org,NS,137
u0GQPQQsSD.usvKAnDwud.kuHcntOuW.tunnel.com,AAAA,152
MRTDvUxyEy.tcEzR7UpdD.nCyFQl5WhP.HYi.exfil.io,AAAA,87
WeyzyADAtF.C0wjIHSZQD.Ky08uCUBn.exfil.io,A,245
zbq.s6ix3p5l.rq632.so9lp0.xyz,A,69
wright-nelson.com,TXT,100
hall.biz,AAAA,40
Aw6G8cOOKH.bkGzHPxZ7p.CFO6DEpzsM.YQS0K7.tunnel.com,CNAME,89
XGvcASvePv.ICxMDt0vdU.WZkAgJGlow.30.exfil.io,NS,245
RSEpEUjrfW.bJRqLaUZaJ.4ScHBRx2cC.JWO.exfil.io,TXT,156
lsmfnvS97n.zc5ReacyR2.K5OYTA30XT.1iQ6PgV.exfil.io,NS,238
fctzyvq.i62x.qcer1ay.3ztp.biz,AAAA,123
mVVwIRm1Vf.Y3ejhlz1DQ.6JwEprEck2.E.exfil.io,MX,218
2GAFPbU396.Wz64RL9h7f.OQcIzd5j.exfil.io,NS,210
4YoDfsVP5e.jEgZNDTqxf.on1IJWf2Dm.9JV.exfil.io,A,64
64g.gfiq7.xyz,A,132
4yc63DQlvf.GNA6HEg8uZ.XHSJXYwM.data.org,NS,164
I8ohtV33j6.aH5RR67GeI.LtGZCAfFkq.rcz0O.data.org,TXT,129
TK9OPducSw.PElnjTLWLz.ZO2JPxlDVp.6NK3.exfil.io,CNAME,153
t8pefe.mz4ev.8358pb0p.naot20n.online,MX,226
ODFmaInWmU.mB8VDBsizH.beV4BnJFFr.t.exfil.io,AAAA,215
VVf1o7bxpy.u4Eeokzy0w.QMbCfVw7AN.DRVb.data.org,TXT,46
barnes-elliott.biz,A,126
DQ9X2ZYkTa.9ch6zenaYr.IFVT4sUELs.exfil.io,CNAME,39
tALcUWLAEC.m5cqZ38SOq.T0Nb.tunnel.com,CNAME,236
q14FMqai6x.aGYDS01vOk.A.data.org,NS,72
GwaweoTwMF.aTk6hfr2Jm.peGUY4HW0x.em3BfHw.tunnel.com,TXT,91
TxLlV30Ask.POr4Mep1Xm.s.tunnel.com,MX,54
gross.info,NS,100
xUCIRCcIDZ.le1VkFqz1t.T1CKmggBRA.io36nbliR.tunnel.com,A,131
gIzQ9WSOJF.2CwKOXz8US.m3kcypy3ZQ.6.tunnel.com,MX,144
x1i.6pryknx.f6qtvu1.kagoi0fx.xyz,AAAA,89
kb0qw.nrf1.online,AAAA,238
JhtQcpWiKz.5OFscUw2j5.YpqKXXsgKf.qz7S.tunnel.com,AAAA,101
8c9zl9BHkP.VNdB1TTTV9.tunnel.com,NS,130
2syo.jefyhft.epxu.nqfpkw20.xyz,CNAME,216
yOl5JXTKOL.HV0wosfCs3.Itda0jgM.tunnel.com,TXT,221
2jc.gokcf.wm065b3m.ukcpy.online,CNAME,51
1h16.br8.u8wwkl0.online,NS,55
vip.lacuh3qr.online,CNAME,142
uRYfp43gTT.aZlQDjEUyv.DETFsKXfRf.k9MEglQU.data.org,NS,51
ojtts3vy.gkt.glpdyo.xyz,A,128
miJ1qEfNET.CSV3JJoKc3.I8uhMsiUkh.MTRCf0.exfil.io,MX,69
es64.8z0zg.zffp3y.qzag.xyz,TXT,216
I8ptQMMu2s.NXWzENyIL0.HmNbF.data.org,MX,235
f9x3a6e.427.uwpyrju.info,MX,216
white.com,A,153
smith.info,A,135
A5iM1zHsmy.7sPqiuoqhZ.0ieCQ1xah9.LyFDhCRS2.data.org,AAAA,155
VOJxnpaycL.w4bFSrt1yh.zXPouG5G4D.T.exfil.io,NS,211
66o7XmsFk4.OQU3vLVvXA.jCSZ7g.data.org,A,185
33TH9Om654.ZNhY9BdHDC.K7SklXxz8X.O.exfil.io,NS,153
white-saunders.org,NS,124
ECjrBlbGdj.WziryZqVwp.KtqMeV0MuP.0OsAkTB5.exfil.io,MX,121
3RrAB0IPB1.nzoKQ20ByB.qyNrYMHUcr.Evy24.exfil.io,NS,211
rXg4s4AZjs.OucJGcdoEL.QQZWUInzwE.PE79.exfil.io,NS,250
bMfS4MsblU.ukRU0JTspw.0HG9200wCh.rnR1.tunnel.com,AAAA,144
aPajyxP4Uc.QJmJmZivcq.EWwYdtpiLr.oqMSOAtj.tunnel.com,NS,128
king.com,NS,65
okaKnGsykO.x2MocxhSuD.2UM.tunnel.com,NS,202
w1e0u96qJJ.kx7E0Jq11f.Gz.exfil.io,CNAME,96
1K7HAIhcJ6.2yM5JW3Un5.1JN1Mv2ywj.DDB.data.org,AAAA,159
fe1.e160zr.h21.7130.biz,MX,138
mccullough.com,MX,32
530.bue7bha.7p281j.biz,MX,92
AB0TtgIr7U.gXX8Jhd3X7.AEswNtTm3Z.HOr.exfil.io,CNAME,190
MZCRe68nju.JbnVjA6eUQ.MLPc6V6hCx.EGPYksjYd.exfil.io,NS,219
8r2h2xwi.0qh5rx.c9oml35.online,CNAME,230
5wESNc8xtt.a4ZfNyhEys.b.exfil.io,AAAA,216
LdBgem8eLY.EhlsdBHCgx.SinvL1kvnK.tunnel.com,MX,81
8ukCbcmT0m.4kBpEoXHGE.p4RA.exfil.io,CNAME,226
ch35.me1sjus6.online,CNAME,65
psjt3oYe9z.0YgAOUvf9x.data.org,NS,94
Ca6eWkk9kJ.aa9lOVu4Ti.2OHZtmHRlO.exfil.io,AAAA,236
townsend.com,A,35
williams.net,CNAME,177
guerrero.info,CNAME,133
ExXojr0ZBL.nfJLso5MQ4.eQHXmyYPyZ.T63pZQBJ.tunnel.com,AAAA,64
iGbGXItUVz.wI0kKXxttK.5EaMAqZoV.data.org,A,211
0p05.xaitt.imwakgi.mwvce.biz,MX,65
beck.com,MX,171
bN8N35S6Nz.lomOQw9U3L.0ARHVWAfZA.py3K.tunnel.com,A,214
m21l1ql.l88.34vrgrzw.biz,TXT,219
heflqOWHcB.Kj6S4xjWYW.data.org,TXT,67
mercado.com,A,196
ej33.dx0c7.biz,TXT,132
martinez-andrews.com,AAAA,60
3O75TCY11d.hLcFbqj5z0.Ebvt4cZqM.exfil.io,AAAA,56
EaIKFBN1YC.6InabTQRjZ.Jtwu4V4.data.org,AAAA,192
hamilton-allen.com,AAAA,222
foFanZp29D.vTVbrzVcoO.MT6PVXcvV3.Qdq2Hotuj.data.org,CNAME,81
jVKhQParDv.7F9e7a75nH.2SEqE.exfil.io,TXT,107
hzve.ey4.pheqz.online,TXT,101
petersen.com,NS,107
gibson-jackson.com,AAAA,167
NM1MuzUOWi.7oaUHgUTCv.tunnel.com,MX,174
bKmPHvyGG4.ndckHSVphE.d2RHYSp0Hc.251G4D6.tunnel.com,A,184
l0BQIBWD13.yy4psX0IHK.nt3.tunnel.com,AAAA,148
Aqb83lge1y.kFcof4gkaN.56Im1vOHuL.wo2bcLAFyf.tunnel.com,TXT,249
SBlqCovhJO.iiOY5VcPpf.yqyoQ9Q.tunnel.com,A,124
oZEh8deIxs.SgRze6WUWZ.naOOo1UVld.exfil.io,NS,148
wtUEUAiQq2.1IhUGMwC9q.H9dn37DY30.tunnel.com,NS,95
x6l.35af00.info,CNAME,72
f6yup8e.uh838d8s.s9z.biz,CNAME,65
SSkCFwP9GC.nmhQd3iQ1F.F2w5RWfvD.exfil.io,A,47
ZD8HmOHmtQ.DT6HWARlTK.ZhhSEj.data.org,MX,243
fuller-franco.com,NS,227
WUhgYIzGon.CBjNNqzty8.9DAbh.tunnel.com,TXT,166
GUjKZzoL1k.6AkmoZzMD3.3QhV4t9VlP.yC7XqmtG0i.exfil.io,A,241
uvmQRnrfYn.B6gZwpSWQw.tunnel.com,NS,31
nelson.net,AAAA,250
rogers.com,TXT,126
rcw13nt6.98w.y6f5cet9.biz,A,188
gjn.hhob8i.ardkx.xyz,TXT,185
xc0fmi.0wi9.si8aq.ruo.info,A,240
Mzdf78ADyM.JgnaDuKC3x.Il2CYibfhR.data.org,NS,41
z2QnAtfXax.Op7SknDowc.bBiK.data.org,CNAME,239
howard.net,TXT,194
pSsQ5r4eeq.mq9huqynQx.u2LzXR7jpD.sT8Z9I5T.tunnel.com,NS,112
vgBTgwARQ2.IcMmtflySV.dU2t5A0B77.Ufvw.exfil.io,CNAME,201
4MNts1mDZV.tL8WbskI0d.ag3pDWzE1u.4.data.org,A,73
dtZkeAbejq.zW1ylBbm4e.RebrIodapa.1.data.org,A,160
u3b2hslp.c4d.sk5trn.mkbg10.xyz,A,201
o7EJIPf9qD.aWtGG3ooTF.5ZTnDOrNUh.tBhPubBc.tunnel.com,TXT,120
phillips.com,CNAME,97
n7et4ku.il83cwy.7kmgca6p.biz,MX,212
barnett.org,CNAME,190
v68ngu.ptt.hcn2fe4w.oxkhfo.info,CNAME,74
Wg65b2MDXi.A7GXEsmCs9.vSrpvmTvFY.dPcrpDmX.data.org,MX,188
xlkczfgn.qskb6a.jke.xyz,A,182
RbnIBz4SMd.3nlQXuck7J.sBPxAae3HA.WEEuK2iIn.data.org,MX,86
ZEjSh4psri.Np8XTQyoDz.gME3X3W6l.exfil.io,TXT,173
y1PqJxvE30.YPTOmTgb0g.PFEUrWirkx.5lzQrf.data.org,A,63
sCs0ycsvOq.XdC9wDkyIa.cv4ToE5kxl.TBGTDOgB.exfil.io,TXT,89
tozkuot7.9sdjx6.eje.hf4.biz,A,132
62cbs.whul.y449jl9.xyz,TXT,195
n0ckwz.kca.xyz,A,110
SqJWlkMLeK.EZigc9brNI.EE4TritL.exfil.io,MX,204
OsHrsB6q9p.f0zqjxDCrH.lv.exfil.io,A,76
